标签,准确率,召回率,f1
合成化学,0.512987012987013,nan,1.025974025974026
物理学,0.6542553191489362,nan,1.3085106382978724
眼科学,0.9281437125748503,nan,1.8562874251497006
生殖系统,0.8625592417061612,nan,1.7251184834123223
环境工程,0.5930232558139535,nan,1.186046511627907
泌尿系统,0.8472906403940886,nan,1.6945812807881773
水利工程,0.9,nan,1.8
消化系统,0.7318181818181818,nan,1.4636363636363636
人工智能,0.5952380952380952,nan,1.1904761904761905
海洋工程,0.8518518518518519,nan,1.7037037037037037
内分泌系统,0.726027397260274,nan,1.452054794520548
无机非金属材料,0.2222222222222222,nan,0.4444444444444444
影像医学与生物医学工程,0.49019607843137253,nan,0.9803921568627451
循环系统,0.8059701492537313,nan,1.6119402985074627
中西医结合,0.7333333333333333,nan,1.4666666666666666
皮肤及其附属器,0.5384615384615384,nan,1.0769230769230769
神经系统,0.8405797101449275,nan,1.681159420289855
化学生物学,0.5228758169934641,nan,1.0457516339869282
生态学,0.65,nan,1.3
微生物学,0.6577540106951871,nan,1.3155080213903743
有机高分子材料,0.7170731707317073,nan,1.4341463414634146
材料化学与能源化学,0.8157894736842105,nan,1.631578947368421
力学,0.6239316239316239,nan,1.2478632478632479
地理学,0.6305418719211823,nan,1.2610837438423645
耳鼻咽喉头颈科学,nan,nan,nan
计算机科学,0.6627218934911243,nan,1.3254437869822486
金属材料,0.2153846153846154,nan,0.4307692307692308
天文学,0.8333333333333334,nan,1.6666666666666667
地质学,0.7291666666666666,nan,1.4583333333333333
管理科学与工程,0.6521739130434783,nan,1.3043478260869565
免疫学,0.14285714285714285,nan,0.2857142857142857
数学,0.8013245033112583,nan,1.6026490066225165
放射医学,0.8767123287671232,nan,1.7534246575342465
兽医学,nan,nan,nan
畜牧学,nan,nan,nan
宏观管理与政策,0.55,nan,1.1
老年医学,0.7586206896551724,nan,1.5172413793103448
电子学与信息系统,0.7169811320754716,nan,1.4339622641509433
化学理论与机制,0.5494505494505495,nan,1.098901098901099
生物物理与生物化学,0.8571428571428571,nan,1.7142857142857142
中药学,0.36363636363636365,nan,0.7272727272727273
自动化,0.5923076923076923,nan,1.1846153846153846
工程热物理与能源利用,0.75,nan,1.5
机械设计与制造,0.7662337662337663,nan,1.5324675324675325
药物学,0.0,nan,0.0
大气科学,0.7472527472527473,nan,1.4945054945054945
急重症医学,0.7684210526315789,nan,1.5368421052631578
新概念材料与材料共性科学,nan,nan,nan
化学测量学,0.7093023255813954,nan,1.4186046511627908
康复医学,0.7906976744186046,nan,1.5813953488372092
环境化学,0.4857142857142857,nan,0.9714285714285714
中医学,0.8666666666666667,nan,1.7333333333333334
经济科学,0.7340425531914894,nan,1.4680851063829787
矿业与冶金工程,0.74,nan,1.48
地球化学,0.8068181818181818,nan,1.6136363636363635
地球物理学和空间物理学,0.4444444444444444,nan,0.8888888888888888
血液系统,0.9142857142857143,nan,1.8285714285714285
药理学,0.3181818181818182,nan,0.6363636363636364
海洋科学,0.9259259259259259,nan,1.8518518518518519
运动系统,0.6923076923076923,nan,1.3846153846153846
植物学,0.7083333333333334,nan,1.4166666666666667
医学病原生物与感染,0.5714285714285714,nan,1.1428571428571428
呼吸系统,0.66,nan,1.32
特种医学,0.8055555555555556,nan,1.6111111111111112
肿瘤学,0.3,nan,0.6
半导体科学与信息器件,0.5,nan,1.0
工商管理,0.5714285714285714,nan,1.1428571428571428
光学和光电子学,0.125,nan,0.25
预防医学,nan,nan,nan
医学免疫学,nan,nan,nan
生物材料、成像与组织工程学,0.0,nan,0.0
动物学,nan,nan,nan
建筑与土木工程,1.0,nan,2.0
林学与草地科学,nan,nan,nan
检验医学,nan,nan,nan
细胞生物学,nan,nan,nan
水产学,nan,nan,nan
电气科学与工程,nan,nan,nan
口腔颅颌面科学,nan,nan,nan
法医学,nan,nan,nan
遗传学与生物信息学,nan,nan,nan
植物保护学,nan,nan,nan
园艺学与植物营养学,nan,nan,nan
催化与表界面化学,nan,nan,nan
神经科学与心理学,nan,nan,nan
农学基础与作物学,nan,nan,nan
食品科学,nan,nan,nan
环境地球科学,nan,nan,nan
发育生物学与生殖生物学,nan,nan,nan
生理学与整合生物学,nan,nan,nan
地方病学/职业病学,nan,nan,nan
交叉学科中的信息科学,nan,nan,nan
分子生物学与生物技术,nan,nan,nan
交通与运载工程,nan,nan,nan
